Comment,Designator,Footprint,LCSC Part #
0.1uF,C2 C3 C4 C5 C6 C7 C11 C13 C14 C16,0402_INDUCTOR,
0.1uF,C24,0603,
1k,R8 R17,R0402,
2.2uH,L3,CY43,
6.8nH,L1,0402_INDUCTOR,
10,R1 R2 R3 R4 R5 R9 R10 R11 R12 R13 R15 R16 R27 R28 R31,R0402,
10k,R6 R7 R14 R18 R20 R21 R32 R35 R36,R0402,
10uF,C10 C15 C17 C19 C20 C21 C22 C23 C25 C26 C29 C30,0603,
22nF,C8,0402_INDUCTOR,
27k,R42,0603,
100,R43,0603,
150k,R41,0603,
220pF,C1,0402_INDUCTOR,
10104110-0001LF,J1,MICRO_USB,
ANT-433-HETH,ANT2,ANT-433-HETH,
ANT-916-HETH,ANT3,ANT-916-HETH,
AT2659,U7,6DFN-1X1.6,
BMP280,U1,BME280,
CONUFL001-SMD,J2 J3,U.FL,
DNP,C9 C12,0402_INDUCTOR,
ESP32-WROOM-32D-N8,U4,MODULE_ESP32-WROOM-32D,
NEO-M8,IC1,NEO-M8,
RED,CR1 CR2 CR3 CR4,0603_DIODE,
SHT40-AD1B-R2,U2,SHT40,
SM4007PL,D3,SOD123(AK),
TPS63000DRCR,U6,S-PVSON-N10,
VGDD79S433N0SA,U3,VGDD79S433N0SA,
W3010,ANT1,W3010,
